timestamp,location,vehicle_count,heavy_vehicle_count,light_vehicle_count,avg_speed,avg_speed_heavy,avg_speed_light,speed_variance,traffic_density,congestion_index,congestion_level,travel_time_minutes,weather,rainfall_mm,event,day_of_week,is_weekend,hour_of_day
01-09-2025 00:00,MG Road,128,34,94,53.55127029,50.09296547,50.05343189,8.2,0.64,6.4,Medium,5.6,Rainy,0.9,0,0,0,0
01-09-2025 01:00,MG Road,128,18,110,41.50434447,44.00298915,61.62928947,2.7,0.64,6.4,Medium,7.2,Clear,0,0,0,0,1
01-09-2025 02:00,MG Road,123,32,91,44.58876248,43.07010129,57.20017445,5.1,0.61,6.1,Medium,6.7,Clear,0,0,0,0,2
01-09-2025 03:00,MG Road,177,25,152,38.12913924,42.71347605,49.36204177,6.9,0.89,8.9,High,7.9,Rainy,17.9,0,0,0,3
01-09-2025 04:00,MG Road,114,17,97,44.08735579,42.51556806,61.88673361,3.7,0.57,5.7,Medium,6.8,Rainy,11.3,0,0,0,4
01-09-2025 05:00,MG Road,150,27,123,45.4639232,46.03113927,43.67301885,5.8,0.75,7.5,High,6.6,Rainy,12.4,0,0,0,5
01-09-2025 06:00,MG Road,165,26,139,40.53935119,44.20263972,50.86439132,7,0.82,8.2,High,7.4,Rainy,19.9,0,0,0,6
01-09-2025 07:00,MG Road,186,44,142,37.31817002,27.80011582,52.31222054,4.1,0.93,9.3,High,8,Cloudy,0,0,0,0,7
01-09-2025 08:00,MG Road,212,48,164,36.97816328,44.03978248,45.68038867,6.3,1.06,10,High,8.1,Cloudy,0,0,0,0,8
01-09-2025 09:00,MG Road,190,47,143,44.80906914,41.90074929,42.04680297,8.4,0.95,9.5,High,6.7,Clear,0,0,0,0,9
01-09-2025 10:00,MG Road,201,23,178,36.10078562,46.401051,44.66895419,4,1,10,High,8.3,Clear,0,1,0,0,10
01-09-2025 11:00,MG Road,138,19,119,49.71250486,44.84299093,51.24517807,9.5,0.69,6.9,Medium,6,Clear,0,0,0,0,11
01-09-2025 12:00,MG Road,145,39,106,40.39688119,40.09991493,57.27102304,3.3,0.72,7.2,Medium,7.4,Clear,0,0,0,0,12
01-09-2025 13:00,MG Road,159,20,139,44.40244904,43.3565537,56.67522422,9.3,0.8,8,High,6.8,Rainy,3.1,0,0,0,13
